"","CO_ID","CoName","Date","Close","Volume"
"2223","006205 ","FB SSE180_0  ",20130725,19.39,5071
"2224","0050   ","Yuanta Taiwan Top50",20130726,47.2,4896
"2225","0056   ","PTD          ",20130726,18.49,335
"2226","006205 ","FB SSE180_0  ",20130726,19.15,5081
"2227","0050   ","Yuanta Taiwan Top50",20130729,46.87,5925
"2228","0056   ","PTD          ",20130729,18.45,318
"2229","006205 ","FB SSE180_0  ",20130729,18.85,5164
"2230","0050   ","Yuanta Taiwan Top50",20130730,47.25,10121
"2231","0056   ","PTD          ",20130730,18.5,518
"2232","006205 ","FB SSE180_0  ",20130730,18.93,5246
"2233","0050   ","Yuanta Taiwan Top50",20130731,46.96,4383
"2234","0056   ","PTD          ",20130731,18.54,357
"2235","006205 ","FB SSE180_0  ",20130731,18.95,5038
"2236","0050   ","Yuanta Taiwan Top50",20130801,46.62,7468
"2237","0056   ","PTD          ",20130801,18.52,211
"2238","006205 ","FB SSE180_0  ",20130801,19.08,5051
"2239","0050   ","Yuanta Taiwan Top50",20130802,46.91,6840
"2240","0056   ","PTD          ",20130802,18.51,280
"2241","006205 ","FB SSE180_0  ",20130802,19.13,5095
"2242","0050   ","Yuanta Taiwan Top50",20130805,47.04,2877
"2243","0056   ","PTD          ",20130805,18.52,248
"2244","006205 ","FB SSE180_0  ",20130805,19.1,5134
"2245","0050   ","Yuanta Taiwan Top50",20130806,46.38,20739
"2246","0056   ","PTD          ",20130806,18.42,486
"2247","006205 ","FB SSE180_0  ",20130806,19.22,5126
"2248","0050   ","Yuanta Taiwan Top50",20130807,45.71,21061
"2249","0056   ","PTD          ",20130807,18.18,1251
"2250","006205 ","FB SSE180_0  ",20130807,19.27,5320
"2251","0050   ","Yuanta Taiwan Top50",20130808,45.55,25089
"2252","0056   ","PTD          ",20130808,18.16,978
"2253","006205 ","FB SSE180_0  ",20130808,19.41,4637
"2254","0050   ","Yuanta Taiwan Top50",20130809,45.5,25862
"2255","0056   ","PTD          ",20130809,18.09,864
"2256","006205 ","FB SSE180_0  ",20130809,19.28,3526
"2257","0050   ","Yuanta Taiwan Top50",20130812,45.63,12024
"2258","0056   ","PTD          ",20130812,18.18,552
"2259","006205 ","FB SSE180_0  ",20130812,19.8,5788
"2260","0050   ","Yuanta Taiwan Top50",20130813,46.09,7627
"2261","0056   ","PTD          ",20130813,18.3,329
"2262","006205 ","FB SSE180_0  ",20130813,19.99,5073
"2263","0050   ","Yuanta Taiwan Top50",20130814,45.96,11120
"2264","0056   ","PTD          ",20130814,18.25,367
"2265","006205 ","FB SSE180_0  ",20130814,20.07,5039
"2266","0050   ","Yuanta Taiwan Top50",20130815,45.63,17432
"2267","0056   ","PTD          ",20130815,18.16,3413
"2268","006205 ","FB SSE180_0  ",20130815,20.01,4447
"2269","0050   ","Yuanta Taiwan Top50",20130816,45.84,17785
"2270","0056   ","PTD          ",20130816,18.16,1166
"2271","006205 ","FB SSE180_0  ",20130816,20.05,5205
"2272","0050   ","Yuanta Taiwan Top50",20130819,45.71,8438
"2273","0056   ","PTD          ",20130819,18.06,1374
"2274","006205 ","FB SSE180_0  ",20130819,19.95,4701
"2275","0050   ","Yuanta Taiwan Top50",20130820,45.3,19856
"2276","0056   ","PTD          ",20130820,17.85,4576
"2277","006205 ","FB SSE180_0  ",20130820,19.82,4524
"2278","0050   ","Yuanta Taiwan Top50",20130822,44.92,30612
"2279","0056   ","PTD          ",20130822,17.7,5473
"2280","006205 ","FB SSE180_0  ",20130822,19.78,4318
"2281","0050   ","Yuanta Taiwan Top50",20130823,45.5,16798
"2282","0056   ","PTD          ",20130823,17.84,810
"2283","006205 ","FB SSE180_0  ",20130823,19.6,4944
"2284","0050   ","Yuanta Taiwan Top50",20130826,45.71,6650
"2285","0056   ","PTD          ",20130826,17.99,1056
"2286","006205 ","FB SSE180_0  ",20130826,19.88,4315
"2287","0050   ","Yuanta Taiwan Top50",20130827,45.3,7339
"2288","0056   ","PTD          ",20130827,17.85,1169
